#,Team,Pl,W,D,L,F,A,GD,Pts,Last 6
1,Manchester City,29,22,4,3,68,18,50,70
2,Liverpool,29,21,6,2,75,20,55,69
3,Chelsea,28,17,8,3,57,19,38,59
4,Arsenal,28,17,3,8,44,31,13,54
5,Tottenham Hotspur,29,16,3,10,47,36,11,51
6,Manchester United,29,14,8,7,48,40,8,50
7,West Ham United,30,14,6,10,49,39,10,48
8,Wolverhampton Wanderers,30,14,4,12,31,26,5,46
9,Aston Villa,29,11,3,15,41,40,1,36
10,Leicester City,27,10,6,11,42,46,-4,36
11,Southampton,29,8,11,10,36,45,-9,35
12,Crystal Palace,29,7,13,9,39,38,1,34
13,Brighton and Hove Albion,29,7,12,10,26,36,-10,33
14,Newcastle United,29,7,10,12,32,49,-17,31
15,Brentford,30,8,6,16,33,47,-14,30
16,Leeds United,30,7,8,15,34,67,-33,29
17,Everton,27,7,4,16,29,47,-18,25
18,Watford,29,6,4,19,29,55,-26,22
19,Burnley,27,3,12,12,22,38,-16,21
20,Norwich City,29,4,5,20,18,63,-45,17
